agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,county_name,county_fips
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00900,,0,,wat,PHY,1640416,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00902,,0,,wat,PHY,1640432,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00915,,0,,wat,INM,150268,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00925,,0,,wat,INM,149617,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00930,,0,,wat,INM,149856,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00931,,0,,wat,INM,1640523,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00932,,0,,wat,INM,1646660,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00935,,0,,wat,INM,149740,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00940,,0,,wat,INN,205955,0,1964-03-02,1966-09-01,31,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00945,,0,,wat,INN,197301,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00950,,0,,wat,INN,206706,0,1964-05-01,1964-05-01,1,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,00955,,0,,wat,INN,151977,0,1964-05-01,1966-09-01,6,Glenn,06021
USGS,11387000,STONY C NR FRUTO CA,ST,39.67154569,-122.5180498,F,NAD83, 600.00, 20,NGVD29,18020115,qw,01020,,0,,wat,IMN,150011,0,1964-03-02,1966-09-01,31,Glenn,06021
