URL,Publication ID,Index ID,Publication type,Publication Subtype,Display title,Title,Series title,Series number,Subseries,Chapter,Sub-chapter,ISSN (online),ISSN (print),ISBN,DOI,Edition,Volume,Issue,Year Published,No Year Published,Language,Publisher,Publisher location,Contributing office(s),Description,Larger Work Type,Larger Work Subtype,Larger Work Title,First page,Last page,Number of Pages,Public Comments,Time Range Start,Time Range End,Conference Title,Conference Location,Conference Date,Country,State,County,City,Other Geospatial,Datum,Projection,Scale,Online Only (Y/N),Additional Online Files(Y/N),Author(s),Editor(s),Compiler(s),Number of Links,ScienceBase URI,CHORUS DOI,CHORUS URL,CHORUS Publisher,CHORUS Authors,CHORUS Journal Name,CHORUS Publication Date,CHORUS Audited On,CHORUS Publicly Accessible Date
https://pubs.usgs.gov/publication/ofr5685,51920,ofr5685,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1955",Open-File Report,56-85,,,,2331-1258,0196-1497,,10.3133/ofr5685,-,,,1956,false,ENGLISH,,,,"69 p., 9 plates",,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.; Merritt, P.M.",,,1,4f4e4a08e4b07f02db5f9dd6,,,,,,,,
https://pubs.usgs.gov/publication/ofr55117,23994,ofr55117,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California; in 1954",Open-File Report,55-117,,,,2331-1258,0196-1497,,10.3133/ofr55117,-,,,1955,false,ENGLISH,"U.S. Dept. of the Interior, Geological Survey,",,,66 p,,,,,,,,,,,,,,,,,,,,,,,"Muir, K. S.",,,0,4f4e4a08e4b07f02db5f9d48,,,,,,,,
https://pubs.usgs.gov/publication/ofr5566,51831,ofr5566,Report,USGS Numbered Series,,"Sixth progress report on the cooperative investigation of springs and streamflow in the Tecolote Tunnel area of Santa Barbara County, California",Open-File Report,55-66,,,,2331-1258,0196-1497,,10.3133/ofr5566,,,,1955,false,English,U.S. Geological Survey,,,Report: 133 p.; Plate: 10.46 x 7.75 inches,,,,,,,,,,,,,United States,California,Santa Barbara County,,Tecolote Tunnel Area,,,,N,N,"Hofmann, Walter",,,2,4f4e49f3e4b07f02db5efb58,,,,,,,,
https://pubs.usgs.gov/publication/ofr54336,51801,ofr54336,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1953",Open-File Report,54-336,,,,2331-1258,0196-1497,,10.3133/ofr54336,-,,,1954,false,ENGLISH,,,,"19 p., 9 plates",,,,,,,,,,,,,,,,,,,,,,,"Wilson, H.D. Jr.",,,1,4f4e4a08e4b07f02db5f9da6,,,,,,,,
https://pubs.usgs.gov/publication/ofr53266,51582,ofr53266,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1952",Open-File Report,53-266,,,,2331-1258,0196-1497,,10.3133/ofr53266,Superceded by: W-1226,,,1953,false,ENGLISH,,,,"20 p., 9 plates",,,,,,,,,,,,,,,,,,,,,,,"Waller, R.M.; Wilson, H.D. Jr.",,,0,4f4e4a08e4b07f02db5f9da1,,,,,,,,
https://pubs.usgs.gov/publication/ofr53121,51292,ofr53121,Report,USGS Numbered Series,,"Fifth progress report on the cooperative investigation of springs and streamflow in the Tecolote Tunnel area of Santa Barbara County, California",Open-File Report,53-121,,,,2331-1258,0196-1497,,10.3133/ofr53121,-,,,1953,false,ENGLISH,,,,268 p.,,,,,,,,,,,,,,,,,,,,,,,"Hofmann, Walter",,,0,4f4e49fbe4b07f02db5f497c,,,,,,,,
https://pubs.usgs.gov/publication/ofr5221,51102,ofr5221,Report,USGS Numbered Series,,"Fourth progress report on the cooperative investigation of springs and streamflow in the Tecolote Tunnel area of Santa Barbara County, California",Open-File Report,52-21,,,,2331-1258,0196-1497,,10.3133/ofr5221,-,,,1952,false,ENGLISH,,,,"175 p., 2 plates",,,,,,,,,,,,,,,,,,,,,,,"Burgess, C.E.",,,0,4f4e4b1be4b07f02db6a9099,,,,,,,,
https://pubs.usgs.gov/publication/ofr52158,23174,ofr52158,Report,USGS Numbered Series,,"Stream runoff and ground-water storage capacity, Santa Ynez River, Santa Barbara County, California",Open-File Report,52-158,,,,2331-1258,0196-1497,,10.3133/ofr52158,-,,,1952,false,ENGLISH,"United States Department of the Interior, Geological Survey, Water Resources Division,",,,"151 p. ill., maps, plates ;28 cm.",,,,,,,,,,,,,,,,,,,,,,,"Troxell, Harold C.; Wilson, Harry Dennis Jr.",,,0,4f4e4b15e4b07f02db6a514b,,,,,,,,
https://pubs.usgs.gov/publication/ofr52168,51198,ofr52168,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1950",Open-File Report,52-168,,,,2331-1258,0196-1497,,10.3133/ofr52168,Superceded by: W-1170,,,1952,false,ENGLISH,,,,"53 p., 1 plate",,,,,,,,,,,,,,,,,,,,,,,"Wilson, H.D. Jr.",,,0,4f4e4a08e4b07f02db5f9d90,,,,,,,,
https://pubs.usgs.gov/publication/ofr526,51087,ofr526,Report,USGS Numbered Series,,"Water levels in observation wells in Santa Barbara County, California, in 1951",Open-File Report,52-6,,,,2331-1258,0196-1497,,10.3133/ofr526,Superceded by : W-1196,,,1952,false,ENGLISH,,,,"20 p., 2 plates",,,,,,,,,,,,,,,,,,,,,,,"Arney, J.A.; Wilson, H.D. Jr.",,,0,4f4e4a08e4b07f02db5f9d9d,,,,,,,,
https://pubs.usgs.gov/publication/ofr51104,51002,ofr51104,Report,USGS Numbered Series,,"Third progress report on the cooperative investigation of springs and streamflow in the Tecolote Tunnel area of Santa Barbara County, California",Open-File Report,51-104,,,,2331-1258,0196-1497,,10.3133/ofr51104,,,,1951,false,English,U.S. Geological Survey,"Reston, VA",,Report: 156 p.; 3 Plates: 9.39 x 7.12 inches or smaller,,,,,,,,,,,,,United States,California,Santa Barbara County,,,,,,,,"Burgess, C.E.",,,4,4f4e4a54e4b07f02db62c469,,,,,,,,
https://pubs.usgs.gov/publication/ofr519,51069,ofr519,Report,USGS Numbered Series,,"Report of the activities of the U. S. Geological Survey during the fiscal year 1950 in cooperation with Santa Barbara County, California",Open-File Report,51-9,,,,2331-1258,0196-1497,,10.3133/ofr519,-,,,1951,false,ENGLISH,,,,10 p.,,,,,,,,,,,,,,,,,,,,,,,"Wilson, H.D. Jr.",,,1,4f4e4a5ee4b07f02db633ad5,,,,,,,,
https://pubs.usgs.gov/publication/wsp1108,2847,wsp1108,Report,USGS Numbered Series,,"Geology and ground-water resources of the south-coast basins of Santa Barbara County, California",Water Supply Paper,1108,,,,,,,10.3133/wsp1108,,,,1951,false,English,"U.S. G.P.O.,",,,"Report: vi, 144 p.; 8 Plates: 32.50 × 17.50 inches or smaller",,,,,,,,,,,,,United States,California,Santa Barbara County,,,,,,,,"Upson, J. E.; Thomasson, H. G. Jr.",,,10,4f4e4adae4b07f02db68531d,,,,,,,,
