site_no,station_name,latitude,longitude,start_year,end_year,total_measurements
342446119513902,004N029W24J002S,34.41277365,-119.8618051,1941.0,1941.0,2
342446119515501,004N029W24K001S,34.41277356,-119.8662496,1941.0,1941.0,2
342446119520001,004N029W24K003S,34.4127735,-119.8676385,1941.0,1941.0,2
342447119321601,004N025W19K001S,34.41305048,-119.5387357,1936.0,1959.0,15
342448119323601,004N025W19M003S,34.4133283,-119.5442916,1949.0,2001.0,280
342448119411101,004N027W23M003S,34.4135,-119.6866389,2005.0,2007.0,12
342448119514601,004N029W24J003S,34.41332915,-119.8637496,1941.0,1941.0,2
342449119312301,004N025W20L003S,34.4136058,-119.5240126,1940.0,1940.0,1
342449119313201,004N025W20L002S,34.41360584,-119.5265128,1946.0,1959.0,5
342449119321301,004N025W19K004S,34.413606,-119.5379023,1941.0,1950.0,10
342449119332701,004N026W24L003S,34.4136063,-119.5584592,1951.0,1951.0,1
342449119411201,004N027W23M002S,34.41369444,-119.68675,2005.0,2007.0,11
342450119312601,004N025W20L001S,34.41388359,-119.524846,1937.0,1950.0,13
342450119315101,004N025W19J006S,34.41388369,-119.5317909,1950.0,1950.0,2
342450119342801,004N026W23L001S,34.41388434,-119.5754047,1941.0,1974.0,3
342450119411201,004N027W23M001S,34.41391667,-119.686861,2005.0,2007.0,11
342450119514801,004N029W24H001S,34.41388469,-119.8643052,1941.0,1955.0,3
342451119313001,004N025W20L004S,34.41416137,-119.5259572,1947.0,2001.0,576
342451119315101,004N025W19J001S,34.41416146,-119.5317909,1922.0,1994.0,11
342452119313301,004N025W20M001S,34.41443916,-119.5267906,1937.0,1981.0,14
342452119322001,004N025W19F001S,34.41443935,-119.5398469,1936.0,1949.0,4
342452119405501,004N027W23F005S,34.41444149,-119.6829113,1986.0,1991.0,119
342452119405502,004N027W23F006S,34.41444149,-119.6829113,1986.0,1991.0,109
342452119405503,004N027W23F007S,34.41444149,-119.6829113,1986.0,1991.0,106
342452119405504,004N027W23F008S,34.41444444,-119.6832778,1991.0,2021.0,376
342452119405505,004N027W23F009S,34.41444444,-119.6832778,1991.0,2021.0,361
342452119424001,004N027W21G001S,34.4144419,-119.7120797,1991.0,2021.0,346
342452119424002,004N027W21G002S,34.4144419,-119.7120797,1991.0,2021.0,343
342453119303301,004N025W21E001S,34.41471668,-119.5101229,1944.0,1944.0,2
342453119322001,004N025W19F002S,34.4147171,-119.5398469,1941.0,1941.0,2
342453119322301,004N025W19F007S,34.41471714,-119.5406803,1949.0,1956.0,4
342453119325601,004N026W24H003S,34.41471727,-119.5498475,1945.0,1949.0,3
342453119325801,004N026W24H001S,34.41471728,-119.5504031,1941.0,1959.0,16
342453119342701,004N026W23F003S,34.41471765,-119.5751269,1951.0,1959.0,4
342453119411101,004N027W23E001S,34.4147193,-119.687356,1978.0,1991.0,205
342453119411102,004N027W23E002S,34.4147193,-119.687356,1978.0,1991.0,198
342453119411103,004N027W23E003S,34.4147193,-119.687356,1978.0,1991.0,199
342453119411104,004N027W23E004S,34.4147193,-119.687356,1978.0,1991.0,187
342453119413401,004N027W22G001S,34.4147194,-119.6937453,1962.0,1962.0,2
342454119321801,004N025W19G002S,34.41499489,-119.5392913,1940.0,1956.0,6
342454119330401,004N026W24H002S,34.41499508,-119.5520699,1943.0,1950.0,10
342454119331801,004N026W24G001S,34.41499514,-119.555959,1941.0,1956.0,13
342454119333701,004N026W24L001S,34.4149952,-119.5612371,1929.0,1949.0,3
342454119340901,004N026W23J001S,34.41499535,-119.5701266,1941.0,1956.0,11
342454119343101,004N026W23F002S,34.41499544,-119.576238,1949.0,1956.0,8
342454119343601,004N026W23F004S,34.41499546,-119.577627,1978.0,1983.0,10
342454119413001,004N027W22H002S,34.41499719,-119.692634,1987.0,1987.0,1
342454119424501,004N027W21G004S,34.41516667,-119.7125278,2005.0,2007.0,12
342455119313601,004N025W20E001S,34.41527249,-119.527624,1949.0,1959.0,4
342455119341201,004N026W23G003S,34.41527314,-119.57096,1976.0,1983.0,10
342455119342001,004N026W23G002S,34.41527317,-119.5731823,1974.0,1979.0,49
342455119342301,004N026W23F005S,34.41527318,-119.5740157,1974.0,1977.0,13
342455119405602,004N027W23F002S,34.41530556,-119.6835833,1986.0,2021.0,556
342455119405603,004N027W23F003S,34.4153611,-119.6835556,1986.0,2021.0,560
342455119405604,004N027W23F004S,34.4153611,-119.6835556,1986.0,2021.0,403
342455119412401,004N027W22G002S,34.41552778,-119.6944722,1987.0,2021.0,488
342455119412402,004N027W22G003S,34.41552778,-119.6944722,1987.0,2021.0,388
342455119412403,004N027W22G004S,34.41552778,-119.6944722,1987.0,2021.0,312
342456119321001,004N025W19G003S,34.4155504,-119.537069,1933.0,1933.0,1
342456119333601,004N026W24F005S,34.41555076,-119.5609594,1946.0,1946.0,1
342456119425201,004N027W21F001S,34.41552778,-119.7150833,1991.0,2021.0,356
342456119425202,004N027W21F002S,34.41552778,-119.7150833,1991.0,2021.0,357
342456119515401,004N029W24K002S,34.41555129,-119.8659719,1941.0,1941.0,2
342457119321701,004N025W19G001S,34.4158282,-119.5390136,1941.0,1946.0,4
342457119332601,004N026W24F003S,34.41582849,-119.5581814,1932.0,1956.0,15
342457119332701,004N026W24F002S,34.41582849,-119.5584592,1933.0,1952.0,85
342457119334201,004N026W24E004S,34.41582855,-119.5626261,1963.0,1963.0,1
342457119335801,004N026W23H005S,34.4158286,-119.5670709,1941.0,1941.0,2
342457119511301,004N028W19F001S,34.41582929,-119.8545829,1941.0,1941.0,1
342458119322801,004N025W19F003S,34.416106,-119.5420693,1945.0,1956.0,5
342458119343101,004N026W23F001S,34.4161065,-119.576238,1949.0,1974.0,6
342458119343401,004N026W23F006S,34.41610654,-119.5770715,1979.0,1983.0,42
342458119442101,004N027W20E001S,34.41610899,-119.740137,1964.0,1964.0,1
342459119323001,004N025W19F005S,34.4163838,-119.5426249,1942.0,1942.0,1
342459119333101,004N026W24F006S,34.41638405,-119.5595704,1949.0,1956.0,8
342459119333601,004N026W24F004S,34.41638407,-119.5609594,1941.0,1949.0,3
342459119335601,004N026W23H001S,34.41638416,-119.5665153,1941.0,1942.0,16
342459119341601,004N026W23G001S,34.41638424,-119.5720712,1941.0,1941.0,1
342459119402601,004N027W23H001S,34.41666667,-119.6750556,1978.0,2013.0,401
342459119402602,004N027W23H002S,34.41666667,-119.6750556,1978.0,1987.0,59
342459119402603,004N027W23H003S,34.41666667,-119.6750556,1978.0,1992.0,192
342459119402604,004N027W23H004S,34.41666667,-119.6750556,1978.0,2013.0,430
342459119404801,004N027W23F001S,34.41638588,-119.6809668,1976.0,1990.0,163
342500119322901,004N025W19F006S,34.41666157,-119.5423471,1947.0,1956.0,5
342500119333601,004N026W24F007S,34.41666185,-119.5609594,1951.0,1951.0,2
342500119333602,004N026W24F008S,34.41666185,-119.5609594,1964.0,1965.0,3
342500119340001,004N026W14G001S,34.43175,-119.5730833,2021.0,2021.0,1
342500119370001,004N026W17J002S,34.4273611,-119.6204167,2016.0,2016.0,1
342500119512501,004N028W19E001S,34.41666254,-119.8579163,1941.0,1941.0,2
342501119323101,004N025W19F004S,34.41693935,-119.5429027,1941.0,2001.0,554
342501119410501,004N027W23E005S,34.41716667,-119.6856944,1986.0,2021.0,556
342501119410502,004N027W23E006S,34.41716667,-119.6856944,1986.0,2012.0,336
342501119412501,004N027W22H001S,34.41694158,-119.6912452,1962.0,1962.0,1
342501119421001,004N027W22E001S,34.41605556,-119.7046667,1991.0,2021.0,309
342501119421002,004N027W22E002S,34.41605556,-119.7046667,1991.0,2021.0,310
342501119424801,004N027W21G003S,34.4171111,-119.7135556,2005.0,2007.0,6
342502119335701,004N026W23H002S,34.41721748,-119.566793,1941.0,1945.0,3
342502119335801,004N026W23H004S,34.41721748,-119.5670709,1941.0,1944.0,32
342502119424401,004N027W21G005S,34.41730556,-119.7124722,2005.0,2007.0,10
342502119431401,004N027W21E001S,34.41719444,-119.7215,1989.0,2021.0,373
342502119431402,004N027W21E002S,34.41719444,-119.7215,1989.0,2021.0,378
342502119431403,004N027W21E003S,34.41719444,-119.7215,1989.0,2021.0,373
342502119513701,004N028W19D001S,34.417218,-119.8612497,1941.0,1941.0,2
342503119320101,004N025W19H001S,34.41749476,-119.5345689,1948.0,2001.0,280
342503119422801,004N027W21H001S,34.41749739,-119.7087463,1931.0,1948.0,5
342504119384001,004N026W19G001S,34.4177742,-119.645409,1978.0,1978.0,2
342505119420301,004N027W22C002S,34.4180528,-119.7018014,1987.0,1987.0,1
342506119335701,004N026W23H003S,34.41832857,-119.566793,1935.0,1956.0,8
342506119390901,004N027W24A001S,34.41832988,-119.6534651,1949.0,1949.0,2
342506119412201,004N027W22A002S,34.4185,-119.6904722,1987.0,2021.0,395
342506119412202,004N027W22A003S,34.4185,-119.6904722,1987.0,2021.0,371
342506119412203,004N027W22A004S,34.4185,-119.6904722,1987.0,2021.0,464
342506119412204,004N027W22A005S,34.4185,-119.6904722,1990.0,1991.0,12
342506119423801,004N027W21B001S,34.41855556,-119.7115833,1931.0,2021.0,1455
342507119380001,004N026W20C001S,34.41860736,-119.6342973,1962.0,1974.0,3
342507119382401,004N026W19H002S,34.41860746,-119.6409644,1962.0,1962.0,1
342507119383901,004N026W19B004S,34.4186075,-119.6451313,1943.0,1943.0,2
342507119393001,004N027W24B001S,34.41860774,-119.6592988,1949.0,1990.0,138
342507119411101,004N027W23D001S,34.41860816,-119.687356,1979.0,1993.0,1900
342508119332301,004N026W24B001S,34.41888397,-119.557348,1941.0,1941.0,1
342508119340401,004N026W23A003S,34.41888414,-119.5687377,1941.0,1950.0,6
342508119382501,004N026W19H001S,34.41888524,-119.6412422,1949.0,1962.0,3
342508119383101,004N026W19H003S,34.41888526,-119.6429089,1977.0,2021.0,8
342508119413701,004N027W22B007S,34.41888604,-119.6945788,1993.0,2019.0,68
342508119413702,004N027W22B008S,34.4191111,-119.6945556,1992.0,2021.0,331
342508119413703,004N027W22B009S,34.4191111,-119.6945556,1992.0,2021.0,327
342508119413704,004N027W22B010S,34.4191111,-119.6945556,1992.0,2021.0,333
342508119413705,004N027W22B011S,34.4191111,-119.6945556,1992.0,2021.0,324
342509119333101,004N026W24C003S,34.41916177,-119.5595705,1943.0,1956.0,14
342509119341501,004N026W23B002S,34.41916196,-119.5717934,1979.0,1980.0,2
342509119375901,004N026W20D002S,34.4191629,-119.6340195,1943.0,1974.0,3
342509119380001,004N026W20C002S,34.4191629,-119.6342973,1956.0,1983.0,11
342509119383401,004N026W19B001S,34.41916305,-119.6437423,1943.0,1943.0,2
342509119384701,004N026W19B006S,34.4191631,-119.6473537,1978.0,1979.0,3
342509119411701,004N027W22A001S,34.4191637,-119.6890229,1962.0,1962.0,1
342509119413701,004N027W22B002S,34.4191638,-119.6945788,1976.0,1992.0,195
342509119413702,004N027W22B003S,34.4191638,-119.6945788,1976.0,1992.0,195
342509119413703,004N027W22B004S,34.4191638,-119.6945788,1976.0,1992.0,195
342509119413704,004N027W22B005S,34.4191638,-119.6945788,1976.0,1992.0,196
342510119341101,004N026W23B001S,34.4194397,-119.5706823,1950.0,1975.0,8
342510119375701,004N026W20D003S,34.41944067,-119.6334639,1974.0,1974.0,2
342510119413801,004N027W22B006S,34.4194416,-119.6948566,1976.0,2021.0,202
342511119330101,004N026W24A001S,34.41971719,-119.5512366,1943.0,1944.0,8
342511119340201,004N026W23A001S,34.41971745,-119.568182,1941.0,1950.0,7
342511119390701,004N026W19D002S,34.4197187,-119.6529096,1951.0,1962.0,4
342511119400001,004N027W24D002S,34.41971896,-119.6676327,1950.0,1984.0,88
342511119413301,004N027W22B001S,34.41971935,-119.6934676,1976.0,1976.0,2
342512119335701,004N026W23A002S,34.4199952,-119.5667931,1941.0,2001.0,481
342512119443701,004N027W19A001S,34.42044444,-119.744361,1989.0,2021.0,378
342512119443702,004N027W19A002S,34.42044444,-119.744361,1989.0,2021.0,377
342512119443703,004N027W19A003S,34.42044444,-119.744361,1989.0,2021.0,378
342513119370901,004N026W20A001S,34.42027378,-119.6201298,1976.0,1976.0,1
342513119380601,004N026W20D001S,34.420274,-119.635964,1943.0,1943.0,1
342513119414901,004N027W22C001S,34.42027496,-119.6979124,1976.0,2021.0,370
342514119373601,004N026W20B001S,34.42055167,-119.6276302,1949.0,1949.0,2
342514119383401,004N026W19B005S,34.4205519,-119.6437424,1974.0,1974.0,1
342514119424401,004N027W21B002S,34.42055297,-119.713191,1931.0,1948.0,6
