site_index,site_id,station_name,data_type,start_year,end_year,year_start,year_end,decade_start,decade_end,decade,closest_stream_order,distance_to_stream_km,longitude,latitude
709,,Unknown,Historical,1966,1967,1966,1967,1960,1960,1960,5,0.026531604,-120.4275,34.6391667
710,,Unknown,Historical,1966,1968,1966,1968,1960,1960,1960,5,1.7328395710515871,-120.4442,34.6347
711,,Unknown,Historical,1954,1963,1954,1963,1950,1960,1950,5,0.022499224788749998,-120.305556,34.609722
712,,Unknown,Historical,1957,1963,1957,1963,1950,1960,1950,2,0.9152418736215084,-120.4666,34.6494
713,,Unknown,Historical,1951,1952,1951,1952,1950,1950,1950,5,0.11303192063903253,-119.686389,34.524444
714,,Unknown,Historical,1957,1963,1957,1963,1950,1960,1950,2,0.9152418736215084,-120.4666,34.6494
716,,Unknown,Historical,1947,1956,1947,1956,1940,1950,1940,5,0.5493479851305804,-120.5847222,34.6888889
717,,Unknown,Historical,1930,1963,1930,1963,1930,1960,1930,3,0.13263605574871645,-119.506944,34.492222
718,,Unknown,Historical,1947,1947,1947,1947,1940,1940,1940,5,0.009128521,-119.86389,34.54361
719,,Unknown,Historical,1947,1968,1947,1968,1940,1960,1940,5,0.030208489873788165,-119.864444,34.543611
722,,Unknown,Historical,1961,1962,1961,1962,1960,1960,1960,5,0.041569324,-120.457222,34.668333
723,,Unknown,Historical,,,,,,,,2,0.2794077389898135,-120.0597,34.65
724,,Unknown,Historical,1903,1903,1903,1903,1900,1900,1900,2,0.058217903894772126,-120.0085,34.5839
725,,Unknown,Historical,1954,1957,1954,1957,1950,1950,1950,5,0.00986585,-120.3555556,34.6133333
726,,Unknown,Historical,1920,1935,1920,1935,1920,1930,1920,5,0.4085946395271208,-119.683333,34.527778
727,,Unknown,Historical,1965,1966,1965,1966,1960,1960,1960,5,0.030208489873788165,-119.864444,34.543611
728,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,2,0.15176633253449098,-119.880556,34.544444
729,,Unknown,Historical,1928,1928,1928,1928,1920,1920,1920,2,0.15968349092192474,-120.0573,34.6277
730,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,2,0.063233383,-119.911111,34.552777
731,,Unknown,Historical,1920,1953,1920,1953,1920,1950,1920,5,0.11303192063903253,-119.686389,34.524444
732,,Unknown,Historical,1947,1959,1947,1959,1940,1950,1940,5,0.030936888552751153,-120.425,34.6375
733,,Unknown,Historical,1947,1951,1947,1951,1940,1950,1940,5,0.021433631286644998,-119.8625,34.54305556
739,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,2,0.093660792,-119.947222,34.544444
741,,Unknown,Historical,,,,,,,,2,0.4217971087516049,-119.933333,34.566667
742,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,2,0.099610202,-119.9694,34.5667
743,,Unknown,Historical,1948,1949,1948,1949,1940,1940,1940,5,0.9549845286386662,-119.972222,34.580556
747,,Unknown,Historical,1947,1965,1947,1965,1940,1960,1940,5,0.070171069,-120.427222,34.639444
748,,Unknown,Historical,1946,1947,1946,1947,1940,1940,1940,5,0.021433631286644998,-119.8625,34.54305556
749,,Unknown,Historical,1928,1938,1928,1938,1920,1930,1920,5,0.14508604051534096,-120.144444,34.586111
750,,Unknown,Historical,1944,1945,1944,1945,1940,1940,1940,3,0.13263605574871645,-119.506944,34.492222
751,,Unknown,Historical,1966,1967,1966,1967,1960,1960,1960,5,0.009128521,-119.86389,34.54361
752,,Unknown,Historical,1931,1932,1931,1932,1930,1930,1930,1,0.37870305457314485,-120.1246,34.6348
754,,Unknown,Historical,1964,1965,1964,1965,1960,1960,1960,5,0.11303192063903253,-119.686389,34.524444
755,,Unknown,Historical,1956,1957,1956,1957,1950,1950,1950,5,0.1909772942550889,-120.2416667,34.6138889
758,,Unknown,Historical,1928,1960,1928,1960,1920,1960,1920,5,0.060139562747986756,-120.1431,34.5847
759,,Unknown,Historical,,,,,,,,2,0.3188532768110516,-120.4221,34.6844
760,,Unknown,Historical,1928,1960,1928,1960,1920,1960,1920,5,0.17727744615959798,-119.9958333,34.5916667
762,,Unknown,Historical,,,,,,,,1,0.23394219807594552,-120.0252,34.6989
763,,Unknown,Historical,,,,,,,,1,0.23394219807594552,-120.0252,34.6989
764,,Unknown,Historical,,,,,,,,3,0.2424741465495899,-119.6378,34.6447
765,,Unknown,Historical,,,,,,,,3,0.2424741465495899,-119.6378,34.6447
766,,Unknown,Historical,,,,,,,,3,0.39308175922399213,-120.1801,34.6515
767,,Unknown,Historical,,,,,,,,5,1.5463615123558392,-120.4462,34.6404
768,,Unknown,Historical,1948,1951,1948,1951,1940,1950,1940,5,0.19095179691546166,-120.241667,34.613889
